Altium Designer Pick and Place Locations
C:\Users\b.moczala.SPACE\AppData\Local\Temp\Releases\Snapshot\1\_Release_panel\JLCPCB\Pick Place\Pick Place for I_PRV_UWS_B2_1_0b_panel.csv

========================================================================================================================
File Design Information:

Date:       28.06.22
Time:       12:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D6","LED","TopLayer","SMD0603_LED","8.0646","121.9812","0","LED"
"IC6","GS8331-TR","BottomLayer","SOT23-5","52.0954","131.5316","180","OPAx333 1.8-V, microPower, CMOS Operational Amplifiers, Zero-Drift Series"
"Q2","BM3415E","BottomLayer","SOT_23","15.9512","133.7820","0","HEXFET Power P-Channel MOSFET"
"R29","Resistor","BottomLayer","SMD0402_RES","27.1274","118.5016","270","Resistor"
"R17","Resistor","BottomLayer","SMD0402_RES","29.9722","121.7778","180","Resistor"
"R10","Resistor","BottomLayer","SMD0402_RES","33.6616","133.9626","270","Resistor"
"J1","Connector 6 pin","BottomLayer","6x1_connector_1.27mm","30.6324","131.4554","0",""
"R19","Resistor","BottomLayer","SMD0402_RES","50.1906","127.8666","270","Resistor"
"R12","Resistor","BottomLayer","SMD0402_RES","53.8732","127.8662","90","Resistor"
"R18","Resistor","BottomLayer","SMD0402_RES","18.2374","135.5958","270","Resistor"
"Q1","SI2302","BottomLayer","SOT_23","20.4978","134.8082","180","HEXFET Power N-Channel MOSFET"
"J10","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","50.4865","116.1853","180",""
"R6","Resistor","BottomLayer","SMD0402_RES","30.3274","116.3676","90","Resistor"
"J12","Battery","TopLayer","LIION_UWS","28.8414","119.3574","0",""
"B1","UWS_B1_outline","TopLayer","UWS_B1_OUTLINE","33.5344","125.9574","180",""
"C1","Capacitor","BottomLayer","SMD0603_CAP","49.3776","119.1238","270","Capacitor"
"C3","Capacitor","BottomLayer","SMD0402_CAP","50.5714","119.5174","270","Capacitor"
"C4","Capacitor","BottomLayer","SMD0402_CAP","52.0954","127.1374","0","Capacitor"
"C6","Capacitor","BottomLayer","SMD0402_CAP","49.6570","131.9126","90","Capacitor"
"C7","Capacitor","BottomLayer","SMD0402_CAP","48.8950","131.9126","90","Capacitor"
"C10","Capacitor","BottomLayer","SMD0402_CAP","31.9532","124.7244","270","Capacitor"
"C11","Capacitor","BottomLayer","SMD0402_CAP","29.0068","124.7498","270","Capacitor"
"C12","Capacitor","BottomLayer","SMD0603_CAP","37.4522","127.6962","180","Capacitor"
"D1","LED","TopLayer","SMD0603_LED","8.0646","123.2004","0","LED"
"D2","LED","TopLayer","SMD0603_LED","30.3148","114.0818","180","LED"
"D3","LED","TopLayer","SMD0603_LED","34.4932","134.6684","90","LED"
"D4","LED","TopLayer","SMD0603_LED","33.3756","134.6684","90","LED"
"IC1","KMZ51","TopLayer","KMZ51_SO8","52.0764","122.9134","90",""
"IC5","TP4054-42","BottomLayer","SOT23-5","38.7414","130.1524","0","MCP73832T bat charger"
"J6","Buzzer","TopLayer","BUZZER_9.5X5","24.9936","132.5730","270",""
"J7","Connector 2pin 3.5mm","TopLayer","CONNECTOR_2PIN_3.5MM","9.4234","127.7216","90",""
"J8","jumper","BottomLayer","0402_JUMPER","31.6484","136.7894","180",""
"J9","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","15.0128","127.2391","90",""
"J11","uUSB","TopLayer","MICROUSB","39.3764","134.6774","180",""
"R1","Resistor","BottomLayer","SMD0402_RES","46.9701","119.1874","270","Resistor"
"R2","SMD potentiometer","TopLayer","POT_1804","52.0954","130.4394","90",""
"R3","Resistor","BottomLayer","SMD0402_RES","47.6248","127.8666","90","Resistor"
"R4","Resistor","BottomLayer","SMD0402_RES","48.4801","127.8666","270","Resistor"
"R5","Resistor","BottomLayer","SMD0402_RES","10.6170","122.5906","90","Resistor"
"R7","Resistor","BottomLayer","SMD0402_RES","54.5844","130.8456","90","Resistor"
"R9","Resistor","BottomLayer","SMD0402_RES","51.4409","128.9659","90","Resistor"
"R11","Resistor","BottomLayer","SMD0402_RES","52.7109","128.9659","90","Resistor"
"R20","Resistor","BottomLayer","SMD0402_RES","41.6304","130.1598","90","Resistor"
"D5","LED","TopLayer","SMD0603_LED","39.8526","126.6421","90","LED"
"R23","Resistor","BottomLayer","SMD0402_RES","39.1416","124.6992","270","Resistor"
"J13","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","43.6944","126.5964","180",""
"Q3","AO3401A","BottomLayer","SOT_23","19.3104","127.3584","90","HEXFET Power P-Channel MOSFET"
"R24","Resistor","BottomLayer","SMD0402_RES","20.4976","132.1414","0","Resistor"
"R25","Resistor","BottomLayer","SMD0402_RES","16.8972","127.3582","90","Resistor"
"R8","Resistor","BottomLayer","SMD0402_RES","27.1270","120.6348","90","Resistor"
"IC3","ATtinny10","BottomLayer","SOT23-6","31.2484","134.0894","270",""
"R13","Resistor","BottomLayer","SMD0402_RES","30.3782","130.1856","0","Resistor"
"C2","Capacitor","BottomLayer","SMD0402_CAP","28.8354","134.0894","270","Capacitor"
"R14","Resistor","BottomLayer","SMD0402_RES","31.6486","129.2962","180","Resistor"
"R15","Resistor","BottomLayer","SMD0402_RES","32.7912","130.1856","0","Resistor"
"FB1","Resistor","BottomLayer","SMD0402_RES","30.5560","124.1404","0","Resistor"
"FB2","Resistor","BottomLayer","SMD0402_RES","27.7874","134.0714","90","Resistor"
"VR1","TL431","BottomLayer","SOT23","25.0844","119.3288","180","Voltage reference"
"F1","Resistor","BottomLayer","SMD0805_RES","15.0774","130.8577","0","Resistor"
"R26","Resistor","BottomLayer","SMD0402_RES","16.8912","124.6738","270","Resistor"
"R27","Resistor","BottomLayer","SMD0402_RES","54.5844","132.6998","90","Resistor"
"R28","Resistor","BottomLayer","SMD0402_RES","25.0954","122.0830","270","Resistor"
"R22","Resistor","BottomLayer","SMD0402_RES","49.3990","157.8666","270","Resistor"
"R21","Resistor","BottomLayer","SMD0402_RES","54.7114","157.8738","90","Resistor"
"R30","Resistor","BottomLayer","SMD0402_RES","39.4602","166.1121","0","Resistor"
"J2","Connector 6 pin","TopLayer","6x1_connector_1.27mm","30.3276","153.0988","180",""
"IC2","ATtinny10","BottomLayer","SOT23-6","29.3878","149.3396","90",""
"R16","Resistor","BottomLayer","SMD0402_RES","22.2248","157.3408","0","Resistor"
"C5","Capacitor","BottomLayer","SMD0603_CAP","48.0568","149.1238","270","Capacitor"
"R32","Resistor","BottomLayer","SMD0402_RES","8.0774","153.2256","180","Resistor"
"R31","Resistor","BottomLayer","SMD0402_RES","8.0774","151.9810","180","Resistor"
"D6","LED","TopLayer","SMD0603_LED","8.0646","151.9812","0","LED"
"IC6","GS8331-TR","BottomLayer","SOT23-5","52.0954","161.5316","180","OPAx333 1.8-V, microPower, CMOS Operational Amplifiers, Zero-Drift Series"
"Q2","BM3415E","BottomLayer","SOT_23","15.9512","163.7820","0","HEXFET Power P-Channel MOSFET"
"R29","Resistor","BottomLayer","SMD0402_RES","27.1274","148.5016","270","Resistor"
"R17","Resistor","BottomLayer","SMD0402_RES","29.9722","151.7778","180","Resistor"
"R10","Resistor","BottomLayer","SMD0402_RES","33.6616","163.9626","270","Resistor"
"J1","Connector 6 pin","BottomLayer","6x1_connector_1.27mm","30.6324","161.4554","0",""
"R19","Resistor","BottomLayer","SMD0402_RES","50.1906","157.8666","270","Resistor"
"R12","Resistor","BottomLayer","SMD0402_RES","53.8732","157.8662","90","Resistor"
"R18","Resistor","BottomLayer","SMD0402_RES","18.2374","165.5958","270","Resistor"
"Q1","SI2302","BottomLayer","SOT_23","20.4978","164.8082","180","HEXFET Power N-Channel MOSFET"
"J10","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","50.4865","146.1853","180",""
"R6","Resistor","BottomLayer","SMD0402_RES","30.3274","146.3676","90","Resistor"
"J12","Battery","TopLayer","LIION_UWS","28.8414","149.3574","0",""
"B1","UWS_B1_outline","TopLayer","UWS_B1_OUTLINE","33.5344","155.9574","180",""
"C1","Capacitor","BottomLayer","SMD0603_CAP","49.3776","149.1238","270","Capacitor"
"C3","Capacitor","BottomLayer","SMD0402_CAP","50.5714","149.5174","270","Capacitor"
"C4","Capacitor","BottomLayer","SMD0402_CAP","52.0954","157.1374","0","Capacitor"
"C6","Capacitor","BottomLayer","SMD0402_CAP","49.6570","161.9126","90","Capacitor"
"C7","Capacitor","BottomLayer","SMD0402_CAP","48.8950","161.9126","90","Capacitor"
"C10","Capacitor","BottomLayer","SMD0402_CAP","31.9532","154.7244","270","Capacitor"
"C11","Capacitor","BottomLayer","SMD0402_CAP","29.0068","154.7498","270","Capacitor"
"C12","Capacitor","BottomLayer","SMD0603_CAP","37.4522","157.6962","180","Capacitor"
"D1","LED","TopLayer","SMD0603_LED","8.0646","153.2004","0","LED"
"D2","LED","TopLayer","SMD0603_LED","30.3148","144.0818","180","LED"
"D3","LED","TopLayer","SMD0603_LED","34.4932","164.6684","90","LED"
"D4","LED","TopLayer","SMD0603_LED","33.3756","164.6684","90","LED"
"IC1","KMZ51","TopLayer","KMZ51_SO8","52.0764","152.9134","90",""
"IC5","TP4054-42","BottomLayer","SOT23-5","38.7414","160.1524","0","MCP73832T bat charger"
"J6","Buzzer","TopLayer","BUZZER_9.5X5","24.9936","162.5730","270",""
"J7","Connector 2pin 3.5mm","TopLayer","CONNECTOR_2PIN_3.5MM","9.4234","157.7216","90",""
"J8","jumper","BottomLayer","0402_JUMPER","31.6484","166.7894","180",""
"J9","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","15.0128","157.2391","90",""
"J11","uUSB","TopLayer","MICROUSB","39.3764","164.6774","180",""
"R1","Resistor","BottomLayer","SMD0402_RES","46.9701","149.1874","270","Resistor"
"R2","SMD potentiometer","TopLayer","POT_1804","52.0954","160.4394","90",""
"R3","Resistor","BottomLayer","SMD0402_RES","47.6248","157.8666","90","Resistor"
"R4","Resistor","BottomLayer","SMD0402_RES","48.4801","157.8666","270","Resistor"
"R5","Resistor","BottomLayer","SMD0402_RES","10.6170","152.5906","90","Resistor"
"R7","Resistor","BottomLayer","SMD0402_RES","54.5844","160.8456","90","Resistor"
"R9","Resistor","BottomLayer","SMD0402_RES","51.4409","158.9659","90","Resistor"
"R11","Resistor","BottomLayer","SMD0402_RES","52.7109","158.9659","90","Resistor"
"R20","Resistor","BottomLayer","SMD0402_RES","41.6304","160.1598","90","Resistor"
"D5","LED","TopLayer","SMD0603_LED","39.8526","156.6421","90","LED"
"R23","Resistor","BottomLayer","SMD0402_RES","39.1416","154.6992","270","Resistor"
"J13","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","43.6944","156.5964","180",""
"Q3","AO3401A","BottomLayer","SOT_23","19.3104","157.3584","90","HEXFET Power P-Channel MOSFET"
"R24","Resistor","BottomLayer","SMD0402_RES","20.4976","162.1414","0","Resistor"
"R25","Resistor","BottomLayer","SMD0402_RES","16.8972","157.3582","90","Resistor"
"R8","Resistor","BottomLayer","SMD0402_RES","27.1270","150.6348","90","Resistor"
"IC3","ATtinny10","BottomLayer","SOT23-6","31.2484","164.0894","270",""
"R13","Resistor","BottomLayer","SMD0402_RES","30.3782","160.1856","0","Resistor"
"C2","Capacitor","BottomLayer","SMD0402_CAP","28.8354","164.0894","270","Capacitor"
"R14","Resistor","BottomLayer","SMD0402_RES","31.6486","159.2962","180","Resistor"
"R15","Resistor","BottomLayer","SMD0402_RES","32.7912","160.1856","0","Resistor"
"FB1","Resistor","BottomLayer","SMD0402_RES","30.5560","154.1404","0","Resistor"
"FB2","Resistor","BottomLayer","SMD0402_RES","27.7874","164.0714","90","Resistor"
"VR1","TL431","BottomLayer","SOT23","25.0844","149.3288","180","Voltage reference"
"F1","Resistor","BottomLayer","SMD0805_RES","15.0774","160.8577","0","Resistor"
"R26","Resistor","BottomLayer","SMD0402_RES","16.8912","154.6738","270","Resistor"
"R27","Resistor","BottomLayer","SMD0402_RES","54.5844","162.6998","90","Resistor"
"R28","Resistor","BottomLayer","SMD0402_RES","25.0954","152.0830","270","Resistor"
